MATERIAL_NAME,FORECAST_DATE,FORECAST_QUANTITY_MT
MAT-0144,2025-02-01,428.48
MAT-0144,2025-03-01,497.54
MAT-0144,2025-04-01,907.01
MAT-0144,2025-05-01,955.09
MAT-0144,2025-06-01,1237.56
MAT-0270,2025-01-01,462.32
MAT-0270,2025-02-01,215.31
MAT-0270,2025-03-01,476.33
MAT-0270,2025-04-01,137.31
MAT-0270,2025-05-01,264.81
MAT-0270,2025-06-01,222.59
MAT-0001,2025-01-01,1408.3
MAT-0001,2025-02-01,380.36
MAT-0001,2025-03-01,678.28
MAT-0001,2025-04-01,832.59
MAT-0001,2025-05-01,610.72
MAT-0001,2025-06-01,671.06
MAT-0146,2025-01-01,338.27
MAT-0146,2025-02-01,-56.37
MAT-0146,2025-03-01,93.6
MAT-0146,2025-04-01,215.9
MAT-0146,2025-05-01,405.64
MAT-0146,2025-06-01,-119.61
MAT-0082,2025-01-01,1246.28
MAT-0082,2025-02-01,943.78
MAT-0082,2025-03-01,956.27
MAT-0082,2025-04-01,863.97
MAT-0082,2025-05-01,1088.78
MAT-0082,2025-06-01,841.27
MAT-0156,2025-01-01,547.25
MAT-0156,2025-02-01,290.12
MAT-0156,2025-03-01,264.61
MAT-0156,2025-04-01,261.23
MAT-0156,2025-05-01,398.74
MAT-0156,2025-06-01,446.88
MAT-0378,2025-01-01,56.19
MAT-0378,2025-02-01,23.24
MAT-0378,2025-03-01,155.21
MAT-0378,2025-04-01,74.1
MAT-0378,2025-05-01,74.08
MAT-0378,2025-06-01,69.31
MAT-0386,2025-01-01,130.64
MAT-0386,2025-02-01,28.86
MAT-0386,2025-03-01,67.37
MAT-0386,2025-04-01,114.17
MAT-0386,2025-05-01,59.12
MAT-0386,2025-06-01,42.92
MAT-0375,2025-01-01,38.33
MAT-0375,2025-02-01,12.73
MAT-0375,2025-03-01,12.83
MAT-0375,2025-04-01,12.76
MAT-0375,2025-05-01,12.88
MAT-0375,2025-06-01,129.86
MAT-0111,2025-01-01,122.91
MAT-0111,2025-02-01,22.73
MAT-0111,2025-03-01,122.97
MAT-0111,2025-04-01,45.91
MAT-0111,2025-05-01,45.91
MAT-0111,2025-06-01,45.92
MAT-0099,2025-01-01,1061.23
MAT-0099,2025-02-01,1145.08
MAT-0099,2025-03-01,888.24
MAT-0099,2025-04-01,819.42
MAT-0099,2025-05-01,1307.34
MAT-0099,2025-06-01,1433.95
MAT-0046,2025-01-01,190.03
MAT-0046,2025-02-01,230.93
MAT-0046,2025-03-01,195.58
MAT-0046,2025-04-01,22.53
MAT-0046,2025-05-01,196.17
MAT-0046,2025-06-01,61.33
MAT-0176,2025-01-01,80.25
MAT-0176,2025-02-01,29.25
MAT-0176,2025-03-01,3.75
MAT-0176,2025-04-01,-21.75
MAT-0176,2025-05-01,-21.75
MAT-0176,2025-06-01,-21.75
MAT-0413,2025-01-01,972.89
MAT-0413,2025-02-01,1153.4
MAT-0413,2025-03-01,941.82
MAT-0413,2025-04-01,826.33
MAT-0413,2025-05-01,826.47
MAT-0413,2025-06-01,1106.17
MAT-0035,2025-01-01,176.73
MAT-0035,2025-02-01,24.05
MAT-0035,2025-03-01,29.68
MAT-0035,2025-04-01,121.67
MAT-0035,2025-05-01,23.3
MAT-0035,2025-06-01,46.55
MAT-0197,2025-01-01,128.9
MAT-0197,2025-02-01,128.77
MAT-0197,2025-03-01,129.0
MAT-0197,2025-04-01,168.03
MAT-0197,2025-05-01,129.0
MAT-0197,2025-06-01,128.97
MAT-0196,2025-01-01,399.2
MAT-0196,2025-02-01,320.8
MAT-0196,2025-03-01,320.8
MAT-0196,2025-04-01,323.38
MAT-0196,2025-05-01,460.84
MAT-0196,2025-06-01,343.33
MAT-0201,2025-01-01,142.55
MAT-0201,2025-02-01,139.65
MAT-0201,2025-03-01,422.15
MAT-0201,2025-04-01,143.53
MAT-0201,2025-05-01,198.39
MAT-0201,2025-06-01,91.5
MAT-0097,2025-01-01,172.57
MAT-0097,2025-02-01,149.19
MAT-0097,2025-03-01,124.44
MAT-0097,2025-04-01,74.94
MAT-0097,2025-05-01,128.57
MAT-0097,2025-06-01,124.6
MAT-0047,2025-01-01,702.56
MAT-0047,2025-02-01,607.55
MAT-0047,2025-03-01,625.08
MAT-0047,2025-04-01,715.05
MAT-0047,2025-05-01,737.61
MAT-0047,2025-06-01,625.05
MAT-0379,2025-01-01,464.85
MAT-0379,2025-02-01,220.85
MAT-0379,2025-03-01,172.14
MAT-0379,2025-04-01,222.4
MAT-0379,2025-05-01,474.51
MAT-0379,2025-06-01,154.42
MAT-0326,2025-01-01,17.88
MAT-0326,2025-02-01,-6.67
MAT-0326,2025-03-01,-6.84
MAT-0326,2025-04-01,-6.87
MAT-0326,2025-05-01,-6.87
MAT-0326,2025-06-01,17.88
MAT-0137,2025-01-01,187.22
MAT-0137,2025-02-01,349.47
MAT-0137,2025-03-01,702.84
MAT-0137,2025-04-01,374.25
MAT-0137,2025-05-01,855.5
MAT-0137,2025-06-01,275.21
MAT-0327,2025-01-01,119.81
MAT-0327,2025-02-01,94.74
MAT-0327,2025-03-01,182.01
MAT-0327,2025-04-01,130.96
MAT-0327,2025-05-01,135.95
MAT-0327,2025-06-01,81.66
MAT-0261,2025-01-01,230.03
MAT-0261,2025-02-01,228.98
MAT-0261,2025-03-01,229.06
MAT-0261,2025-04-01,229.08
MAT-0261,2025-05-01,280.58
MAT-0261,2025-06-01,381.99
MAT-0202,2025-01-01,10.76
MAT-0202,2025-02-01,79.51
MAT-0202,2025-03-01,5.26
MAT-0202,2025-04-01,30.01
MAT-0202,2025-05-01,41.02
MAT-0202,2025-06-01,71.28
MAT-0198,2025-01-01,129.13
MAT-0198,2025-02-01,-29.46
MAT-0198,2025-03-01,119.08
MAT-0198,2025-04-01,638.84
MAT-0198,2025-05-01,-103.3
MAT-0198,2025-06-01,68.36
MAT-0313,2025-01-01,3.25
MAT-0313,2025-02-01,3.32
MAT-0313,2025-03-01,3.37
MAT-0313,2025-04-01,3.22
MAT-0313,2025-05-01,130.82
MAT-0313,2025-06-01,232.77
MAT-0315,2025-01-01,179.8
MAT-0315,2025-02-01,172.27
MAT-0315,2025-03-01,172.27
MAT-0315,2025-04-01,172.27
MAT-0315,2025-05-01,172.27
MAT-0315,2025-06-01,172.27
MAT-0065,2025-01-01,187.5
MAT-0065,2025-02-01,29.34
MAT-0065,2025-03-01,144.54
MAT-0065,2025-04-01,147.79
MAT-0065,2025-05-01,84.37
MAT-0065,2025-06-01,270.1
MAT-0148,2025-01-01,103.13
MAT-0148,2025-02-01,28.89
MAT-0148,2025-03-01,-20.63
MAT-0148,2025-04-01,-20.63
MAT-0148,2025-05-01,-20.63
MAT-0148,2025-06-01,-17.78
MAT-0113,2025-01-01,43.88
MAT-0113,2025-02-01,189.89
MAT-0113,2025-03-01,42.95
MAT-0113,2025-04-01,41.39
MAT-0113,2025-05-01,202.27
MAT-0113,2025-06-01,67.44
MAT-0265,2025-01-01,742.11
MAT-0265,2025-02-01,543.39
MAT-0265,2025-03-01,23.45
MAT-0265,2025-04-01,66.72
MAT-0265,2025-05-01,414.8
MAT-0265,2025-06-01,250.31
MAT-0233,2025-01-01,323.89
MAT-0233,2025-02-01,403.41
MAT-0233,2025-03-01,242.91
MAT-0233,2025-04-01,253.37
MAT-0233,2025-05-01,319.31
MAT-0233,2025-06-01,344.96
MAT-0236,2025-01-01,37.23
MAT-0236,2025-02-01,42.53
MAT-0236,2025-03-01,56.28
MAT-0236,2025-04-01,37.38
MAT-0236,2025-05-01,78.33
MAT-0236,2025-06-01,12.28
MAT-0053,2025-01-01,129.81
MAT-0053,2025-02-01,117.7
MAT-0053,2025-03-01,133.23
MAT-0053,2025-04-01,212.6
MAT-0053,2025-05-01,146.58
MAT-0053,2025-06-01,141.36
MAT-0147,2025-01-01,25.46
MAT-0147,2025-02-01,26.93
MAT-0147,2025-03-01,72.01
MAT-0147,2025-04-01,23.81
MAT-0147,2025-05-01,49.75
MAT-0147,2025-06-01,35.76
MAT-0356,2025-01-01,247.14
MAT-0356,2025-02-01,253.61
MAT-0356,2025-03-01,287.07
MAT-0356,2025-04-01,463.28
MAT-0356,2025-05-01,454.56
MAT-0356,2025-06-01,307.18
MAT-0353,2025-01-01,52.95
MAT-0353,2025-02-01,6.02
MAT-0353,2025-03-01,109.81
MAT-0353,2025-04-01,-12.61
MAT-0353,2025-05-01,197.36
MAT-0353,2025-06-01,100.08
MAT-0193,2025-01-01,74.8
MAT-0193,2025-02-01,174.76
MAT-0193,2025-03-01,81.6
MAT-0193,2025-04-01,24.48
MAT-0193,2025-05-01,68.68
MAT-0193,2025-06-01,136.68
MAT-0104,2025-01-01,44.69
MAT-0104,2025-02-01,35.06
MAT-0104,2025-03-01,65.31
MAT-0104,2025-04-01,44.69
MAT-0104,2025-05-01,45.69
MAT-0104,2025-06-01,116.19
MAT-0324,2025-01-01,25.87
MAT-0324,2025-02-01,26.61
MAT-0324,2025-03-01,46.7
MAT-0324,2025-04-01,64.24
MAT-0324,2025-05-01,57.98
MAT-0324,2025-06-01,79.74
MAT-0150,2025-01-01,395.43
MAT-0150,2025-02-01,378.73
MAT-0150,2025-03-01,405.83
MAT-0150,2025-04-01,369.73
MAT-0150,2025-05-01,386.35
MAT-0150,2025-06-01,420.78
MAT-0323,2025-01-01,12.89
MAT-0323,2025-02-01,-12.61
MAT-0323,2025-03-01,12.95
MAT-0323,2025-04-01,-12.61
MAT-0323,2025-05-01,13.1
MAT-0323,2025-06-01,12.97
MAT-0151,2025-01-01,577.59
MAT-0151,2025-02-01,221.71
MAT-0151,2025-03-01,114.47
MAT-0151,2025-04-01,586.48
MAT-0151,2025-05-01,553.16
MAT-0151,2025-06-01,1480.59
MAT-0357,2025-01-01,0.53
MAT-0357,2025-02-01,1.24
MAT-0357,2025-03-01,10.71
MAT-0357,2025-04-01,0.58
MAT-0357,2025-05-01,3.78
MAT-0357,2025-06-01,46.78
MAT-0295,2025-01-01,25.44
MAT-0295,2025-02-01,24.06
MAT-0295,2025-03-01,24.06
MAT-0295,2025-04-01,24.06
MAT-0295,2025-05-01,24.06
MAT-0295,2025-06-01,24.06
MAT-0416,2025-01-01,482.69
MAT-0416,2025-02-01,457.86
MAT-0416,2025-03-01,631.56
MAT-0416,2025-04-01,1077.12
MAT-0416,2025-05-01,1274.63
MAT-0416,2025-06-01,705.51
MAT-0178,2025-01-01,105.65
MAT-0178,2025-02-01,328.1
MAT-0178,2025-03-01,540.56
MAT-0178,2025-04-01,300.56
MAT-0178,2025-05-01,122.39
MAT-0178,2025-06-01,158.37
MAT-0114,2025-01-01,94.04
MAT-0114,2025-02-01,-58.61
MAT-0114,2025-03-01,-3.53
MAT-0114,2025-04-01,-84.56
MAT-0114,2025-05-01,-69.46
MAT-0114,2025-06-01,-38.03
MAT-0057,2025-01-01,7.05
MAT-0057,2025-02-01,23.23
MAT-0057,2025-03-01,6.72
MAT-0057,2025-04-01,6.72
MAT-0057,2025-05-01,8.6
MAT-0057,2025-06-01,179.97
MAT-0338,2025-01-01,31.36
MAT-0338,2025-02-01,86.06
MAT-0338,2025-03-01,177.34
MAT-0338,2025-04-01,24.61
MAT-0338,2025-05-01,25.92
MAT-0338,2025-06-01,24.54
MAT-0234,2025-01-01,233.68
MAT-0234,2025-02-01,178.63
MAT-0234,2025-03-01,192.74
MAT-0234,2025-04-01,217.43
MAT-0234,2025-05-01,804.3
MAT-0234,2025-06-01,947.65
MAT-0085,2025-01-01,308.59
MAT-0085,2025-02-01,308.09
MAT-0085,2025-03-01,317.5
MAT-0085,2025-04-01,310.25
MAT-0085,2025-05-01,314.74
MAT-0085,2025-06-01,345.3
MAT-0158,2025-01-01,28.58
MAT-0158,2025-02-01,105.05
MAT-0158,2025-03-01,105.02
MAT-0158,2025-04-01,79.55
MAT-0158,2025-05-01,28.63
MAT-0158,2025-06-01,160.52
MAT-0374,2025-01-01,86.67
MAT-0374,2025-02-01,83.91
MAT-0374,2025-03-01,86.7
MAT-0374,2025-04-01,181.64
MAT-0374,2025-05-01,209.19
MAT-0374,2025-06-01,144.74
MAT-0098,2025-01-01,358.88
MAT-0098,2025-02-01,358.88
MAT-0098,2025-03-01,383.64
MAT-0098,2025-04-01,371.28
MAT-0098,2025-05-01,408.38
MAT-0098,2025-06-01,334.13
MAT-0320,2025-01-01,2.7
MAT-0320,2025-02-01,17.83
MAT-0320,2025-03-01,2.4
MAT-0320,2025-04-01,2.4
MAT-0320,2025-05-01,2.4
MAT-0320,2025-06-01,5.15
MAT-0397,2025-01-01,1.66
MAT-0397,2025-02-01,2.01
MAT-0397,2025-03-01,1.61
MAT-0397,2025-04-01,1.86
MAT-0397,2025-05-01,1.77
MAT-0397,2025-06-01,1.76
MAT-0237,2025-01-01,224.13
MAT-0237,2025-02-01,225.71
MAT-0237,2025-03-01,249.46
MAT-0237,2025-04-01,225.96
MAT-0237,2025-05-01,257.19
MAT-0237,2025-06-01,285.39
MAT-0174,2025-01-01,3.49
MAT-0174,2025-02-01,-2.01
MAT-0174,2025-03-01,78.84
MAT-0174,2025-04-01,65.37
MAT-0174,2025-05-01,215.24
MAT-0174,2025-06-01,-1.71
MAT-0267,2025-01-01,27.5
MAT-0267,2025-02-01,22.0
MAT-0267,2025-03-01,22.0
MAT-0267,2025-04-01,22.45
MAT-0267,2025-05-01,64.63
MAT-0267,2025-06-01,593.16
MAT-0210,2025-01-01,63.25
MAT-0210,2025-02-01,99.0
MAT-0210,2025-03-01,121.0
MAT-0210,2025-04-01,71.5
MAT-0210,2025-05-01,39.88
MAT-0210,2025-06-01,61.88
MAT-0344,2025-01-01,116.19
MAT-0344,2025-02-01,103.81
MAT-0344,2025-03-01,112.06
MAT-0344,2025-04-01,103.81
MAT-0344,2025-05-01,95.56
MAT-0344,2025-06-01,128.56
MAT-0303,2025-01-01,130.0
MAT-0303,2025-02-01,84.93
MAT-0303,2025-03-01,90.0
MAT-0303,2025-04-01,25.0
MAT-0303,2025-05-01,32.5
MAT-0303,2025-06-01,12.5
MAT-0109,2025-01-01,111.4
MAT-0109,2025-02-01,37.13
MAT-0109,2025-03-01,-37.12
MAT-0109,2025-04-01,136.13
MAT-0109,2025-05-01,61.88
MAT-0109,2025-06-01,111.4
MAT-0302,2025-01-01,86.52
MAT-0302,2025-02-01,187.2
MAT-0302,2025-03-01,44.19
MAT-0302,2025-04-01,128.07
MAT-0302,2025-05-01,128.57
MAT-0302,2025-06-01,59.56
MAT-0122,2025-01-01,45.0
MAT-0122,2025-02-01,13.75
MAT-0122,2025-03-01,33.75
MAT-0122,2025-04-01,53.63
MAT-0122,2025-05-01,32.5
MAT-0122,2025-06-01,22.5
MAT-0301,2025-01-01,41.25
MAT-0301,2025-02-01,49.5
MAT-0301,2025-03-01,52.25
MAT-0301,2025-04-01,33.0
MAT-0301,2025-05-01,33.0
MAT-0301,2025-06-01,38.5
MAT-0228,2025-01-01,39.09
MAT-0228,2025-02-01,134.17
MAT-0228,2025-03-01,14.54
MAT-0228,2025-04-01,10.41
MAT-0228,2025-05-01,36.69
MAT-0228,2025-06-01,-14.34
MAT-0345,2025-01-01,11.88
MAT-0345,2025-02-01,101.75
MAT-0345,2025-03-01,21.88
MAT-0345,2025-04-01,34.38
MAT-0345,2025-05-01,58.13
MAT-0345,2025-06-01,20.63
MAT-0221,2025-01-01,86.88
MAT-0221,2025-02-01,54.38
MAT-0221,2025-03-01,16.88
MAT-0221,2025-04-01,99.38
MAT-0221,2025-05-01,15.63
MAT-0221,2025-06-01,54.38
MAT-0072,2025-01-01,45.38
MAT-0072,2025-02-01,74.25
MAT-0072,2025-03-01,77.0
MAT-0072,2025-04-01,75.63
MAT-0072,2025-05-01,94.88
MAT-0072,2025-06-01,31.63
MAT-0247,2025-01-01,470.26
MAT-0247,2025-02-01,297.02
MAT-0247,2025-03-01,371.27
MAT-0247,2025-04-01,321.78
MAT-0247,2025-05-01,173.27
MAT-0247,2025-06-01,173.28
MAT-0062,2025-01-01,250.03
MAT-0062,2025-02-01,349.03
MAT-0062,2025-03-01,497.53
MAT-0062,2025-04-01,794.54
MAT-0062,2025-05-01,358.67
MAT-0062,2025-06-01,175.78
MAT-0371,2025-01-01,60.0
MAT-0371,2025-02-01,60.0
MAT-0371,2025-03-01,48.0
MAT-0371,2025-04-01,12.0
MAT-0371,2025-05-01,12.0
MAT-0371,2025-06-01,12.0
MAT-0335,2025-01-01,982.28
MAT-0335,2025-02-01,1615.78
MAT-0335,2025-03-01,1133.93
MAT-0335,2025-04-01,851.28
MAT-0335,2025-05-01,1644.65
MAT-0335,2025-06-01,1767.03
MAT-0366,2025-01-01,78.75
MAT-0366,2025-02-01,121.25
MAT-0366,2025-03-01,101.25
MAT-0366,2025-04-01,168.75
MAT-0366,2025-05-01,146.25
MAT-0366,2025-06-01,78.75
MAT-0243,2025-01-01,249.54
MAT-0243,2025-02-01,272.91
MAT-0243,2025-03-01,272.91
MAT-0243,2025-04-01,274.29
MAT-0243,2025-05-01,254.06
MAT-0243,2025-06-01,348.54
MAT-0346,2025-01-01,162.15
MAT-0346,2025-02-01,137.4
MAT-0346,2025-03-01,533.4
MAT-0346,2025-04-01,137.4
MAT-0346,2025-05-01,331.28
MAT-0346,2025-06-01,279.03
MAT-0135,2025-01-01,27.5
MAT-0135,2025-02-01,23.38
MAT-0135,2025-03-01,42.63
MAT-0135,2025-04-01,56.38
MAT-0135,2025-05-01,20.63
MAT-0135,2025-06-01,27.5
MAT-0355,2025-01-01,15.13
MAT-0355,2025-02-01,-6.87
MAT-0355,2025-03-01,-4.12
MAT-0355,2025-04-01,23.38
MAT-0355,2025-05-01,-5.5
MAT-0355,2025-06-01,6.88
MAT-0051,2025-01-01,201.25
MAT-0051,2025-02-01,1000.0
MAT-0051,2025-03-01,1291.28
MAT-0051,2025-04-01,223.75
MAT-0051,2025-05-01,201.25
MAT-0051,2025-06-01,203.75
MAT-0336,2025-01-01,30.25
MAT-0336,2025-02-01,118.25
MAT-0336,2025-03-01,415.23
MAT-0336,2025-04-01,19.25
MAT-0336,2025-05-01,19.25
MAT-0336,2025-06-01,19.25
MAT-0074,2025-01-01,14.45
MAT-0074,2025-02-01,14.45
MAT-0074,2025-03-01,5.02
MAT-0074,2025-04-01,4.82
MAT-0074,2025-05-01,14.45
MAT-0074,2025-06-01,14.45
